Bits	Prep	Calc	Clean	Pre_Cuda	 Post_CUDA	GPU	CPU			
6000	0,002436	0,000184	0,000316	0,001422	0,000130	0,004495	0,000010			
6024	0,003095	0,000165	0,000442	0,001426	0,000129	0,005265	0,000010			
6048	0,003085	0,000177	0,000441	0,001440	0,000130	0,005279	0,000010			
6072	0,003241	0,000165	0,000471	0,001455	0,000131	0,005472	0,000010			
6096	0,003235	0,000166	0,000468	0,001457	0,000132	0,005464	0,000009			
6120	0,002820	0,000158	0,000400	0,001467	0,000131	0,004983	0,000009			
6144	0,002454	0,000165	0,000330	0,001475	0,000132	0,004563	0,000009			
6168	0,003141	0,000168	0,000449	0,001481	0,000133	0,005378	0,000011			
6192	0,003224	0,000164	0,000466	0,001491	0,000133	0,005485	0,000011			
6216	0,003073	0,000166	0,000433	0,001509	0,000135	0,005323	0,000011			
6240	0,003286	0,000165	0,000481	0,001505	0,000135	0,005580	0,000011			
6264	0,001928	0,000171	0,000233	0,001522	0,000136	0,003999	0,000011			
6288	0,003245	0,000167	0,000466	0,001533	0,000137	0,005556	0,000011			
6312	0,002382	0,000177	0,000312	0,001533	0,000136	0,004548	0,000011			
6336	0,002883	0,000170	0,000398	0,001567	0,000140	0,005166	0,000011			
6360	0,003227	0,000167	0,000460	0,001556	0,000138	0,005556	0,000011			
6384	0,001762	0,000185	0,000213	0,001580	0,000140	0,003889	0,000011			
6408	0,003303	0,000166	0,000476	0,001572	0,000139	0,005663	0,000011			
6432	0,002675	0,000165	0,000374	0,001585	0,000140	0,004946	0,000011			
6456	0,002073	0,000141	0,000259	0,001602	0,000141	0,004224	0,000011			
6480	0,003192	0,000169	0,000449	0,001604	0,000140	0,005563	0,000011			
6504	0,001823	0,000178	0,000231	0,001610	0,000141	0,003991	0,000011			
6528	0,003310	0,000168	0,000476	0,001621	0,000142	0,005724	0,000011			
6552	0,002777	0,000169	0,000393	0,001629	0,000142	0,005118	0,000011			
6576	0,002457	0,000188	0,000313	0,001678	0,000149	0,004793	0,000011			
6600	0,003356	0,000167	0,000481	0,001661	0,000148	0,005821	0,000011			
6624	0,003337	0,000170	0,000485	0,001660	0,000144	0,005803	0,000011			
6648	0,002300	0,000178	0,000295	0,001674	0,000146	0,004601	0,000011			
6672	0,002639	0,000163	0,000361	0,001681	0,000145	0,004996	0,000011			
6696	0,002125	0,000180	0,000256	0,001701	0,000147	0,004416	0,000011			
6720	0,001883	0,000188	0,000236	0,001696	0,000147	0,004157	0,000011			
6744	0,002630	0,000189	0,000344	0,001706	0,000147	0,005024	0,000011			
6768	0,002939	0,000170	0,000409	0,001720	0,000147	0,005393	0,000011			
6792	0,003244	0,000168	0,000458	0,001735	0,000150	0,005762	0,000011			
6816	0,002037	0,000202	0,000192	0,001752	0,000151	0,004340	0,000011			
6840	0,002040	0,000184	0,000204	0,001750	0,000151	0,004337	0,000011			
6864	0,003088	0,000263	0,000286	0,001761	0,000153	0,005559	0,000011			
6888	0,002825	0,000241	0,000263	0,001786	0,000153	0,005276	0,000011			
6912	0,003520	0,000269	0,000319	0,001783	0,000154	0,006053	0,000011			
6936	0,001793	0,000198	0,000178	0,001811	0,000157	0,004146	0,000011			
6960	0,003637	0,000275	0,000328	0,001784	0,000152	0,006183	0,000011			
6984	0,003661	0,000277	0,000331	0,001808	0,000154	0,006238	0,000011			
7008	0,003426	0,000266	0,000310	0,001816	0,000155	0,005980	0,000011			
7032	0,001879	0,000170	0,000197	0,001814	0,000153	0,004221	0,000011			
7056	0,002361	0,000219	0,000224	0,001832	0,000155	0,004799	0,000011			
7080	0,003026	0,000251	0,000280	0,001843	0,000155	0,005564	0,000011			
7104	0,002599	0,000229	0,000243	0,001845	0,000156	0,005080	0,000011			
7128	0,002230	0,000215	0,000213	0,001854	0,000156	0,004677	0,000011			
7152	0,003675	0,000276	0,000331	0,001875	0,000157	0,006322	0,000011			
7176	0,002803	0,000254	0,000271	0,001877	0,000158	0,005371	0,000012			
7200	0,003691	0,000276	0,000333	0,001882	0,000159	0,006349	0,000011			
7224	0,002262	0,000210	0,000211	0,001898	0,000159	0,004748	0,000011			
7248	0,003686	0,000277	0,000337	0,001903	0,000159	0,006370	0,000011			
7272	0,003612	0,000272	0,000324	0,001917	0,000160	0,006293	0,000012			
7296	0,002494	0,000226	0,000238	0,001926	0,000160	0,005052	0,000011			
7320	0,002555	0,000225	0,000241	0,001932	0,000161	0,005122	0,000011			
7344	0,001964	0,000205	0,000193	0,001950	0,000161	0,004482	0,000011			
7368	0,003680	0,000275	0,000332	0,001959	0,000164	0,006417	0,000012			
7392	0,002506	0,000225	0,000235	0,001984	0,000164	0,005121	0,000012			
7416	0,002416	0,000219	0,000229	0,001978	0,000165	0,005014	0,000012			
7440	0,002541	0,000221	0,000228	0,001992	0,000163	0,005153	0,000011			
7464	0,002061	0,000206	0,000196	0,001994	0,000165	0,004629	0,000011			
7488	0,002359	0,000204	0,000225	0,002013	0,000166	0,004973	0,000012			
7512	0,002440	0,000206	0,000232	0,002019	0,000166	0,005071	0,000012			
7536	0,003518	0,000220	0,000318	0,002031	0,000167	0,006262	0,000011			
7560	0,003604	0,000226	0,000325	0,002034	0,000167	0,006362	0,000012			
7584	0,003642	0,000226	0,000335	0,002049	0,000169	0,006429	0,000012			
7608	0,003266	0,000213	0,000300	0,002062	0,000168	0,006016	0,000011			
7632	0,003680	0,000229	0,000333	0,002079	0,000170	0,006499	0,000012			
7656	0,003530	0,000228	0,000320	0,002082	0,000169	0,006337	0,000011			
7680	0,002055	0,000192	0,000200	0,002097	0,000170	0,004722	0,000011			
